player_name,first_name,last_name,college,position,combine_year,height_inches,weight_lbs,hand_size_inches,arm_length_inches,40_yard_dash,bench_press_reps,vertical_leap_inches,broad_jump_inches,3_cone_drill,20_yard_shuttle,hand_size_inches_missed,arm_length_inches_missed,40_yard_dash_missed,bench_press_reps_missed,vertical_leap_inches_missed,broad_jump_inches_missed,3_cone_drill_missed,20_yard_shuttle_missed,round,pick,team,draft_status,draft_value
travin_dural,travin,dural,louisiana_state,wr,2017,73,202,9,32,4.57,,30.5,116,7.29,4.55,0,0,0,1,0,0,0,0,13,337,udfa,0,5
ken_ekanem,ken,ekanem,virginia_tech,dl,2017,74.63,257,10.5,32,4.88,,30.5,115,7.38,4.4,0,0,0,1,0,0,0,0,13,337,udfa,0,5
corn_elder,corn,elder,miami_fl,lb,2017,70.13,183,8.75,31.25,4.55,,,,,,0,0,0,1,1,1,1,1,5,152,car,1,3
pat_elflein,pat,elflein,ohio_state,ol,2017,74.75,303,9.75,33.25,5.32,22,23.5,99,7.94,4.71,0,0,0,0,0,0,0,0,3,70,min,1,2
jake_elliott,jake,elliott,memphis,k_p,2017,69.25,167,9,29,4.79,,,,,,0,0,0,1,1,1,1,1,5,153,cin,1,3
jermaine_eluemunor,jermaine,eluemunor,texas_a&m,ol,2017,75.63,332,9.5,33.25,5.22,34,,,,,0,0,0,0,1,1,1,1,5,159,bal,1,3
darius_english,darius,english,south_carolina,lb,2017,78,245,,,,,,,,4.94,1,1,1,1,1,1,1,0,13,337,udfa,0,5
evan_engram,evan,engram,mississippi,fb_te,2017,75.13,234,10,33.5,4.42,19,36,125,6.92,4.23,0,0,0,0,0,0,0,0,1,23,nyg,1,1
amba_etta-tawo,amba,etta-tawo,syracuse,wr,2017,73.25,208,9.13,32,4.49,14,31,126,6.95,4.32,0,0,0,0,0,0,0,0,13,337,udfa,0,5
jerod_evans,jerod,evans,virginia_tech,qb,2017,74.63,232,9.38,33.13,4.8,,26.5,112,,4.41,0,0,0,1,0,0,1,0,13,337,udfa,0,5
justin_evans,justin,evans,texas_a&m,db,2017,72,199,9.75,32,,14,,,,,0,0,1,0,1,1,1,1,2,50,tb,1,2
gerald_everett,gerald,everett,south_alabama,fb_te,2017,74.75,239,8.5,33,4.62,22,37.5,126,6.99,4.33,0,0,0,0,0,0,0,0,2,44,lar,1,2
dan_feeney,dan,feeney,indiana,ol,2017,76,305,10.25,33.38,5.24,26,28,101,7.52,4.68,0,0,0,0,0,0,0,0,3,71,lac,1,2
devonte_fields,devonte,fields,louisville,lb,2017,74.38,236,9,32.38,4.72,,34,124,7.4,4.88,0,0,0,1,0,0,0,0,13,337,udfa,0,5
tarean_folston,tarean,folston,notre_dame,rb,2017,69,214,,,,,,,,4.2,1,1,1,1,1,1,1,0,13,337,udfa,0,5
isaiah_ford,isaiah,ford,virginia_tech,wr,2017,73.25,194,9.25,32.63,4.61,14,35.5,127,6.94,4.34,0,0,0,0,0,0,0,0,7,237,mia,1,3
rudy_ford,rudy,ford,auburn,db,2017,71.13,205,8.88,30,,20,,,,4.21,0,0,1,0,1,1,1,0,13,337,udfa,0,5
donta_foreman,donta,foreman,texas,rb,2017,72.25,233,10.13,31.38,,18,,,,4.28,0,0,1,0,1,1,1,0,3,89,hou,1,2
reuben_foster,reuben,foster,alabama,lb,2017,72.25,229,10.25,32.38,,,,,,,0,0,1,1,1,1,1,1,1,31,sf,1,1
leonard_fournette,leonard,fournette,louisiana_state,rb,2017,72.13,240,9.25,31.63,4.51,,28.5,,,,0,0,0,1,0,1,1,1,1,4,jax,1,1
kyle_fuller,kyle,fuller,baylor,ol,2017,76.75,307,9.38,32.88,5.24,23,26,96,7.71,4.84,0,0,0,0,0,0,0,0,7,243,hou,1,3
wayne_gallman,wayne,gallman,clemson,rb,2017,72.25,215,9.13,32.63,4.6,21,29.5,120,7.17,4.28,0,0,0,0,0,0,0,0,4,140,nyg,1,3
antonio_garcia,antonio,garcia,troy_al,ol,2017,78.38,302,9.88,33.38,5.15,24,31,108,7.98,4.94,0,0,0,0,0,0,0,0,3,85,ne,1,2
myles_garrett,myles,garrett,texas_a&m,dl,2017,76.25,272,10.25,35.25,4.64,33,41,128,,4.2,0,0,0,0,0,0,1,0,1,1,cle,1,1
ben_gedeon,ben,gedeon,michigan,lb,2017,73.63,244,10,32.63,4.75,27,34.5,119,6.98,4.39,0,0,0,0,0,0,0,0,4,120,min,1,3
avery_gennesy,avery,gennesy,texas_a&m,ol,2017,75,318,9.5,33.63,5.35,24,20,91,8.08,5,0,0,0,0,0,0,0,0,13,337,udfa,0,5
nate_gerry,nate,gerry,nebraska,db,2017,73.88,218,9.25,31.25,4.58,17,30.5,122,,,0,0,0,0,0,0,1,1,13,337,udfa,0,5
shelton_gibson,shelton,gibson,west_virginia,wr,2017,71.13,191,8.88,32,4.5,8,32,118,6.83,4.2,0,0,0,0,0,0,0,0,5,166,phi,1,3
ryan_glasgow,ryan,glasgow,michigan,dl,2017,74.88,302,9.63,33.38,5.13,20,27.5,105,7.55,4.62,0,0,0,0,0,0,0,0,4,138,cin,1,3
