,combine_year,player_name,first_name,last_name,college,position,height_inches,weight_lbs,hand_size_inches,arm_length_inches,40_yard_dash,bench_press_reps,vertical_leap_inches,broad_jump_inches,3_cone_drill,20_yard_shuttle,60_yard_shuttle,hand_size_inches_missed,arm_length_inches_missed,40_yard_dash_missed,bench_press_reps_missed,vertical_leap_inches_missed,broad_jump_inches_missed,3_cone_drill_missed,20_yard_shuttle_missed,60_yard_shuttle_missed
56,2017,gareon conley,gareon,conley,ohio_state,lb,72.25,195,9.5,33.0,4.44,11.0,37.0,129.0,6.68,4.18,,0,0,0,0,0,0,0,0,1
57,2017,james conner,james,conner,pittsburgh,rb,73.25,233,9.88,31.25,4.65,20.0,29.0,113.0,,,,0,0,0,0,0,0,1,1,1
58,2017,dalvin cook,dalvin,cook,florida_state,rb,71.13,210,9.25,32.38,4.49,22.0,30.5,116.0,7.27,4.53,,0,0,0,0,0,0,0,0,1
59,2017,ethan cooper,ethan,cooper,indiana_pa,ol,74.0,322,10.38,32.63,5.36,26.0,24.5,99.0,8.02,4.88,,0,0,0,0,0,0,0,0,1
60,2017,zach cunningham,zach,cunningham,vanderbilt,lb,75.25,234,9.25,34.38,4.67,15.0,35.0,125.0,7.03,,,0,0,0,0,0,0,0,1,1
61,2017,jeremy cutrer,jeremy,cutrer,middle_tennessee_state,lb,74.0,170,,,,,,,,4.26,,1,1,1,1,1,1,1,0,1
62,2017,darrell daniels,darrell,daniels,washington,fb_te,75.13,247,10.25,34.5,4.55,17.0,32.0,116.0,7.09,4.47,,0,0,0,0,0,0,0,0,1
63,2017,amara darboh,amara,darboh,michigan,wr,73.75,214,9.88,32.63,4.45,17.0,36.0,124.0,,4.26,11.88,0,0,0,0,0,0,1,0,0
64,2017,julien davenport,julien,davenport,bucknell_pa,ol,78.75,318,10.5,36.5,5.45,18.0,27.0,106.0,7.57,4.69,,0,0,0,0,0,0,0,0,1
65,2017,corey davis,corey,davis,western_michigan,wr,74.75,209,9.13,33.0,,,,,,4.28,11.48,0,0,1,1,1,1,1,0,0
66,2017,jarrad davis,jarrad,davis,florida,lb,73.25,238,9.75,33.5,,,,,,4.39,,0,0,1,1,1,1,1,0,1
67,2017,justin davis,justin,davis,southern_california,rb,72.63,208,9.63,31.0,,21.0,,,,4.32,11.29,0,0,1,0,1,1,1,0,0
