full_name,first_name,last_name,combine_year,college,position,height_inches,weight_lbs,hand_size_inches,arm_length_inches,40_yard_dash,bench_press_reps,vertical_leap_inches,broad_jump_inches,3_cone_drill,20_yard_shuttle,60_yard_shuttle
rasul_douglas,rasul,douglas,2017,west_virginia,lb,74,209,9.25,32.38,4.59,16,33.5,120,6.97,4.26,
jessamen_dunker,jessamen,dunker,2017,tennessee_state,ol,76.13,318,10,33.5,4.98,23,28.5,108,,4.13,11.2
malachi_dupre,malachi,dupre,2017,louisiana_state,wr,74.13,196,9,31.5,4.52,11,39.5,135,7.19,4.26,
travin_dural,travin,dural,2017,louisiana_state,wr,73,202,9,32,4.57,,30.5,116,7.29,4.55,
ken_ekanem,ken,ekanem,2017,virginia_tech,dl,74.63,257,10.5,32,4.88,,30.5,115,7.38,4.4,
corn_elder,corn,elder,2017,miami_fl,lb,70.13,183,8.75,31.25,4.55,,,,,,
pat_elflein,pat,elflein,2017,ohio_state,ol,74.75,303,9.75,33.25,5.32,22,23.5,99,7.94,4.71,
jake_elliott,jake,elliott,2017,memphis,k_p,69.25,167,9,29,4.79,,,,,,
jermaine_eluemunor,jermaine,eluemunor,2017,texas_a&m,ol,75.63,332,9.5,33.25,5.22,34,,,,,
darius_english,darius,english,2017,south_carolina,lb,78,245,,,,,,,,4.94,
evan_engram,evan,engram,2017,mississippi,fb_te,75.13,234,10,33.5,4.42,19,36,125,6.92,4.23,
amba_etta-tawo,amba,etta-tawo,2017,syracuse,wr,73.25,208,9.13,32,4.49,14,31,126,6.95,4.32,
jerod_evans,jerod,evans,2017,virginia_tech,qb,74.63,232,9.38,33.13,4.8,,26.5,112,,4.41,
justin_evans,justin,evans,2017,texas_a&m,db,72,199,9.75,32,,14,,,,,
gerald_everett,gerald,everett,2017,south_alabama,fb_te,74.75,239,8.5,33,4.62,22,37.5,126,6.99,4.33,11.57
dan_feeney,dan,feeney,2017,indiana,ol,76,305,10.25,33.38,5.24,26,28,101,7.52,4.68,
devonte_fields,devonte,fields,2017,louisville,lb,74.38,236,9,32.38,4.72,,34,124,7.4,4.88,
tarean_folston,tarean,folston,2017,notre_dame,rb,69,214,,,,,,,,4.2,11.53
isaiah_ford,isaiah,ford,2017,virginia_tech,wr,73.25,194,9.25,32.63,4.61,14,35.5,127,6.94,4.34,
rudy_ford,rudy,ford,2017,auburn,db,71.13,205,8.88,30,,20,,,,4.21,11.22
donta_foreman,donta,foreman,2017,texas,rb,72.25,233,10.13,31.38,,18,,,,4.28,
reuben_foster,reuben,foster,2017,alabama,lb,72.25,229,10.25,32.38,,,,,,,
leonard_fournette,leonard,fournette,2017,louisiana_state,rb,72.13,240,9.25,31.63,4.51,,28.5,,,,
kyle_fuller,kyle,fuller,2017,baylor,ol,76.75,307,9.38,32.88,5.24,23,26,96,7.71,4.84,
wayne_gallman,wayne,gallman,2017,clemson,rb,72.25,215,9.13,32.63,4.6,21,29.5,120,7.17,4.28,11.92
antonio_garcia,antonio,garcia,2017,troy_al,ol,78.38,302,9.88,33.38,5.15,24,31,108,7.98,4.94,
myles_garrett,myles,garrett,2017,texas_a&m,dl,76.25,272,10.25,35.25,4.64,33,41,128,,4.2,11.43
ben_gedeon,ben,gedeon,2017,michigan,lb,73.63,244,10,32.63,4.75,27,34.5,119,6.98,4.39,11.84
avery_gennesy,avery,gennesy,2017,texas_a&m,ol,75,318,9.5,33.63,5.35,24,20,91,8.08,5,
nate_gerry,nate,gerry,2017,nebraska,db,73.88,218,9.25,31.25,4.58,17,30.5,122,,,
shelton_gibson,shelton,gibson,2017,west_virginia,wr,71.13,191,8.88,32,4.5,8,32,118,6.83,4.2,11.79
ryan_glasgow,ryan,glasgow,2017,michigan,dl,74.88,302,9.63,33.38,5.13,20,27.5,105,7.55,4.62,
davon_godchaux,davon,godchaux,2017,louisiana_state,dl,75.13,310,10.25,32.38,5.27,18,,,,4.43,
kenny_golladay,kenny,golladay,2017,northern_illinois,wr,75.75,218,9.75,32,4.5,18,35.5,120,7,4.15,
zane_gonzalez,zane,gonzalez,2017,arizona_state,k_p,72.25,202,9,29.5,,,,,,,
evan_goodman,evan,goodman,2017,arizona_state,ol,76,306,,,,,,,,4.81,
shaquill_griffin,shaquill,griffin,2017,central_florida,db,71.75,194,8.75,32.38,4.38,17,38.5,132,6.87,4.14,
nate_hairston,nate,hairston,2017,temple,lb,71.88,196,9.5,31,4.52,14,35.5,118,,4.45,
daeshon_hall,daeshon,hall,2017,texas_a&m,dl,77.38,266,9.63,35,4.76,18,36,123,7.03,4.63,
chad_hansen,chad,hansen,2017,california,wr,73.75,202,10.13,32.13,4.53,11,35,119,6.74,4.13,11.17
sean_harlow,sean,harlow,2017,oregon_state,ol,76.13,303,9.5,32,5.15,26,30.5,105,8.16,4.81,
charles_harris,charles,harris,2017,missouri,dl,74.63,253,9.63,32.38,4.82,21,32,109,7.47,4.56,
connor_harris,connor,harris,2017,lindenwood_mo,lb,71,242,9.38,30.13,4.73,18,33,114,7.13,4.18,
josh_harvey-clemons,josh,harvey-clemons,2017,louisville,db,76.13,217,10.38,35.38,,12,31.5,121,,,
keon_hatcher,keon,hatcher,2017,arkansas,wr,73.25,212,9.5,32,4.64,16,,,,4.28,
carlos_henderson,carlos,henderson,2017,louisiana_tech,wr,70.75,199,9.13,31.38,4.46,13,36,131,7.18,4.35,
deangelo_henderson,deangelo,henderson,2017,coastal_carolina_sc,rb,67.5,208,9.5,29,4.48,20,34,120,,,
trey_hendrickson,trey,hendrickson,2017,florida_atlantic,dl,75.88,266,9.88,32,4.65,,33.5,122,7.03,4.4,12.43
jordan_herdman,jordan,herdman,2017,simon_fraser_canada,lb,71,238,8.13,29.88,,,,,,,
cole_hikutini,cole,hikutini,2017,louisville,fb_te,76.13,247,10,32.75,,20,,,,4.34,
brian_hill,brian,hill,2017,wyoming,rb,72.63,219,8.88,31.38,4.54,15,34,125,7.03,4.32,
delano_hill,delano,hill,2017,michigan,db,72.63,216,9.38,32.13,4.47,17,33.5,115,6.96,4.27,
bucky_hodges,bucky,hodges,2017,virginia_tech,fb_te,78.13,257,10.13,32.5,4.57,18,39,134,,4.45,11.46
krishawn_hogan,krishawn,hogan,2017,marian_in,wr,74.63,222,9.88,32.13,4.56,13,36.5,124,6.74,4.21,
colin_holba,colin,holba,2017,louisville,fb_te,76.38,248,9.63,33.63,5.19,,28,115,,,
mack_hollins,mack,hollins,2017,north_carolina,wr,75.75,221,9.75,33.25,4.53,,,,,,
elijah_hood,elijah,hood,2017,north_carolina,rb,71.75,232,9.38,30.38,,18,,,,4.34,
malik_hooker,malik,hooker,2017,ohio_state,db,73.38,206,10.75,32.25,,,,,,,
bug_howard,bug,howard,2017,north_carolina,wr,75.63,221,10.38,33.13,4.58,,37.5,119,6.95,4.14,
oj_howard,oj,howard,2017,alabama,fb_te,77.63,251,10,33.75,4.51,22,30,121,6.85,4.16,12.38
