,height_inches,weight_lbs,hand_size_inches,arm_length_inches,40_yard_dash,bench_press_reps,vertical_leap_inches,broad_jump_inches,3_cone_drill,20_yard_shuttle,hand_size_inches_missed,arm_length_inches_missed,40_yard_dash_missed,bench_press_reps_missed,vertical_leap_inches_missed,broad_jump_inches_missed,3_cone_drill_missed,20_yard_shuttle_missed,draft_status
75,78.0,310,10.13,33.13,5.15,26.0,27.0,107.0,7.89,4.81,0,0,0,0,0,0,0,0,1
76,70.88,241,10.0,32.75,4.84,20.0,31.5,117.0,7.50843092890449,4.31,0,0,0,0,0,0,1,0,1
77,73.13,313,9.38,30.63,5.13,33.0,31.5,105.0,7.65,4.57,0,0,0,0,0,0,0,0,1
78,77.75,310,10.88,33.75,5.274130615204669,25.0,27.350272640935813,104.34130174332007,8.152259569311628,4.82,0,0,1,0,1,1,1,0,1
79,73.25,237,10.13,32.75,4.52,24.0,36.5,133.0,7.01,5.0,0,0,0,0,0,0,0,0,1
80,76.13,248,9.38,32.75,4.61,30.0,35.0,123.0,6.94,4.1716303460709705,0,0,0,0,0,0,0,1,1
81,77.75,322,10.5,35.5,5.15,25.71927862539247,26.0,106.0,7.81,4.82,0,0,0,1,0,0,0,0,1
82,76.38,280,9.75,32.75,4.89,25.0,31.5,114.0,7.558272226079373,4.414589082067569,0,0,0,0,0,0,1,1,1
83,75.75,312,9.5,32.25,5.54,19.0,26.5,97.0,7.6,4.47,0,0,0,0,0,0,0,0,1
84,78.0,335,10.09906048706854,33.53786071632001,5.4755404647021555,24.1647605581527,25.9125841009091,96.32830307806137,8.327647080458314,4.78,1,1,1,1,1,1,1,0,0
85,76.63,331,10.25,34.0,5.55,25.278247624036176,23.0,98.0,8.19,5.06,0,0,0,1,0,0,0,0,1
86,77.75,343,10.0,35.38,5.44,19.0,20.5,97.0,7.87,4.78,0,0,0,0,0,0,0,0,1
87,75.13,261,9.5,32.13,4.9,20.0,28.0,105.0,7.21,4.39,0,0,0,0,0,0,0,0,0
88,76.38,319,10.63,33.5,5.35,28.0,32.0,110.0,7.71,4.56,0,0,0,0,0,0,0,0,1
89,81.63,309,10.5,33.38,5.42,21.39555909295258,26.0,97.0,7.61,5.01,0,0,0,1,0,0,0,0,0
90,72.63,296,9.63,32.88,5.24,22.0,27.0,105.0,7.53,4.561457478945362,0,0,0,0,0,0,0,1,1
91,74.88,264,9.25,33.25,4.77,24.240996297707333,29.5,117.0,7.18,4.28,0,0,0,1,0,0,0,0,1
92,74.75,304,10.13,34.38,5.07,26.0,28.5,108.0,7.58,4.59,0,0,0,0,0,0,0,0,1
93,77.0,311,10.13,34.0,5.27,15.0,26.0,107.0,7.84,4.6,0,0,0,0,0,0,0,0,1
94,77.0,315,9.63,32.63,5.41,23.0,27.0,105.0,7.97,4.55,0,0,0,0,0,0,0,0,0
95,74.75,273,9.38,33.0,4.69,30.0,35.0,126.0,6.95,4.58,0,0,0,0,0,0,0,0,1
96,75.0,310,10.13,33.5,5.19,27.0008028650201,27.0,110.0,7.68,4.39,0,0,0,1,0,0,0,0,1
97,77.0,307,10.0,33.63,5.51,21.0,25.5,100.0,8.09,4.37,0,0,0,0,0,0,0,0,0
98,73.13,331,10.25,33.0,5.45,28.0,24.5,91.0,7.83,4.65,0,0,0,0,0,0,0,0,0
99,75.0,325,10.077512606003815,32.97637673861503,5.355615323827788,26.340876331116696,26.190304927454314,100.73906896546873,8.343490708538884,4.93,1,1,1,1,1,1,1,0,0
100,79.25,321,10.38,35.38,5.61,18.0,26.0,103.0,8.35,5.17,0,0,0,0,0,0,0,0,0
101,75.13,305,10.63,33.13,4.99,28.0,28.5,111.0,7.69,4.551809070955443,0,0,0,0,0,0,0,1,1
102,74.13,310,9.63,33.75,4.96,25.0,28.0,107.0,7.89,4.13,0,0,0,0,0,0,0,0,0
103,75.75,280,10.5,33.0,5.0967393173363025,18.0,28.681131043854542,109.85706631787005,8.046165701440234,4.89,0,0,1,0,1,1,1,0,1
104,75.13,309,10.38,34.63,5.205136672716077,25.0,27.889252051283577,105.67845454101777,8.141947613540935,4.73,0,0,1,0,1,1,1,0,1
105,78.25,284,9.75,33.38,5.1,25.0,29.5,108.0,7.55,4.62,0,0,0,0,0,0,0,0,0
106,77.25,326,10.5,35.25,5.57,25.0,24.0,95.0,8.04,4.9,0,0,0,0,0,0,0,0,1
107,73.25,294,10.13,32.25,5.29,23.0,26.5,101.0,7.9,4.73,0,0,0,0,0,0,0,0,0
108,76.0,285,10.25,33.38,5.23,20.0,30.0,111.0,7.46,4.73,0,0,0,0,0,0,0,0,0
109,77.0,264,9.75,33.5,4.869862284710793,20.0,33.27766615707792,117.35410455426862,7.526902308982619,4.3307030201945995,0,0,1,0,1,1,1,1,0
110,76.63,321,9.5,33.5,5.28,20.0,25.5,103.0,7.96,4.71,0,0,0,0,0,0,0,0,1
111,77.5,311,10.023197960134226,34.51343047261412,4.98,25.486749037660495,28.0,104.0,8.15,5.11,1,1,0,1,0,0,0,0,1
112,72.63,311,10.0,33.0,5.05,31.0,27.5,113.0,8.05,4.82,0,0,0,0,0,0,0,0,1
113,74.13,284,10.25,34.0,5.15,32.0,30.0,113.0,7.95,4.53,0,0,0,0,0,0,0,0,1
114,74.13,298,9.38,30.25,5.36,29.0,27.5,99.0,7.52,4.53,0,0,0,0,0,0,0,0,1
115,74.13,302,10.25,31.63,5.33,24.0,28.5,96.0,7.52,4.69,0,0,0,0,0,0,0,0,1
116,77.25,269,10.25,33.38,4.86,24.0,32.0,120.0,6.89,4.21,0,0,0,0,0,0,0,0,1
117,76.13,303,9.833548461708787,32.923314500244786,5.01,25.0,28.0,108.0,7.31,4.27,1,1,0,0,0,0,0,0,0
118,79.0,291,11.75,34.38,5.05,23.584279272667338,32.0,116.0,7.51,4.47,0,0,0,1,0,0,0,0,0
119,75.0,285,10.0,33.63,4.93,23.0,32.0,116.0,7.31,4.56,0,0,0,0,0,0,0,0,1
120,75.63,323,10.75,35.13,5.33,26.0,29.5,104.0,7.82,4.76,0,0,0,0,0,0,0,0,1
121,76.38,251,9.88,34.25,4.82,23.0,35.0,115.0,6.97,4.25,0,0,0,0,0,0,0,0,1
122,78.0,295,9.25,32.75,5.158787254739141,20.0,29.829414454974593,105.96455095187197,7.810588034184042,4.540737948773218,0,0,1,0,1,1,1,1,0
123,74.63,314,10.5,32.13,5.06,29.0,28.5,102.0,7.936650254334095,4.62,0,0,0,0,0,0,1,0,1
124,77.25,316,11.88,36.13,5.16,18.0,28.53368098927585,101.54048200077077,7.9985076307754115,4.814111207697909,0,0,0,0,1,1,1,1,1
125,77.5,307,10.63,35.13,5.2106217632742995,22.0,28.720937155267116,104.63390314350076,8.005729921430056,4.708490104984056,0,0,1,0,1,1,1,1,1
126,73.88,311,9.5,33.13,5.03,25.0,29.5,109.0,7.53,4.52,0,0,0,0,0,0,0,0,1
127,77.75,308,10.38,35.0,5.0,25.0,30.0,103.0,7.63,4.57,0,0,0,0,0,0,0,0,1
128,76.5,303,10.0,34.75,5.17,19.0,25.0,102.0,7.85,4.89,0,0,0,0,0,0,0,0,1
129,74.63,243,9.38,31.63,4.69,21.0,33.0,108.0,7.369323871144496,4.27858999833378,0,0,0,0,0,0,1,1,1
130,75.13,248,10.25,32.88,4.82,21.0,31.5,111.0,6.8,4.31,0,0,0,0,0,0,0,0,0
131,76.13,304,9.13,33.13,5.18,28.0,31.0,109.0,7.64,4.77,0,0,0,0,0,0,0,0,1
132,72.63,293,9.63,32.63,5.07,21.0,30.0,102.0,7.44,4.5,0,0,0,0,0,0,0,0,1
133,79.0,310,10.0,33.75,5.23,20.0,29.0,101.0,7.7,4.76,0,0,0,0,0,0,0,0,1
134,77.0,277,10.0,34.0,4.86,24.191073105612354,31.974447655970376,112.33518562948314,7.506792918991735,4.474769300709073,0,0,0,1,1,1,1,1,1
135,77.63,315,9.5,33.75,5.27,30.0,27.0,100.0,7.88,4.66,0,0,0,0,0,0,0,0,1
136,78.25,310,9.88,33.0,5.26,24.709740337185536,27.5,97.0,7.97708609267968,4.670815581585838,0,0,0,1,0,0,1,1,1
137,73.75,271,9.88,32.63,4.92,23.0,35.5,113.0,7.06,4.39,0,0,0,0,0,0,0,0,0
138,76.38,312,10.13,33.88,5.32,30.0,29.0,99.0,7.62,4.64,0,0,0,0,0,0,0,0,1
139,77.88,307,10.75,33.63,5.13,23.0,25.0,106.0,7.63,4.63,0,0,0,0,0,0,0,0,1
140,76.5,287,10.75,34.13,4.995912407077721,25.091298946141613,30.864795343852865,110.8471350625379,7.83366651179012,4.4860893262680035,0,0,1,1,1,1,1,1,1
141,74.75,321,9.63,31.63,5.2,28.0,21.5,98.0,8.07,4.98,0,0,0,0,0,0,0,0,0
142,78.0,304,9.63,33.75,5.16,24.69408143699522,27.5,111.0,7.47,4.47,0,0,0,1,0,0,0,0,1
143,73.38,309,9.63,32.0,4.93,29.0,34.5,109.0,7.9,4.7,0,0,0,0,0,0,0,0,1
144,77.63,305,9.63,34.25,5.23,23.0,23.5,100.0,8.19,4.89,0,0,0,0,0,0,0,0,1
145,77.25,293,10.5,34.5,5.02,26.0,33.0,113.0,7.44,4.52,0,0,0,0,0,0,0,0,0
146,74.75,303,10.88,33.38,5.0,28.0,30.5,110.0,7.57,4.53,0,0,0,0,0,0,0,0,1
147,77.75,324,10.75,36.0,5.27,24.0,32.5,109.0,8.1056215077904,4.75,0,0,0,0,0,0,1,0,1
148,75.5,299,9.82069491012184,33.27372340413898,5.03,32.0,28.0,108.0,7.78,4.68,1,1,0,0,0,0,0,0,0
149,75.88,273,10.25,33.38,5.06,20.0,31.5,113.0,7.4,4.77,0,0,0,0,0,0,0,0,0
150,77.0,313,9.75,33.0,5.432237955519013,20.0,26.0,97.0,8.276866938223554,4.757225813843992,0,0,1,0,0,0,1,1,0
151,75.88,291,8.88,33.38,4.95,24.0,29.0,107.83076954791667,7.95,4.37,0,0,0,0,0,1,0,0,1
152,76.38,314,9.88,32.75,5.32,25.0,26.0,96.0,7.84,4.75,0,0,0,0,0,0,0,0,1
153,77.5,301,10.38,34.0,5.21,24.0,30.5,104.0,7.31,4.6,0,0,0,0,0,0,0,0,0
154,77.75,310,9.0,32.75,5.03,26.0,24.5,106.0,7.44,4.62,0,0,0,0,0,0,0,0,1
155,75.0,275,9.5,33.88,4.73,30.0,35.0,109.0,7.67,4.52,0,0,0,0,0,0,0,0,1
156,77.13,295,10.0,35.0,5.01,26.0,25.0,106.0,7.32,4.58,0,0,0,0,0,0,0,0,0
157,75.25,317,10.5,32.0,5.32,12.0,27.5,107.0,8.3,4.83,0,0,0,0,0,0,0,0,0
158,78.5,285,9.75,34.5,4.87,25.0,30.0,111.0,7.03,4.25,0,0,0,0,0,0,0,0,1
159,76.0,311,9.63,33.63,5.03,26.0,30.0,103.0,7.58,4.59,0,0,0,0,0,0,0,0,1
160,76.5,335,9.63,34.63,5.55,19.0,22.5,94.0,8.72,5.06,0,0,0,0,0,0,0,0,0
161,76.25,311,10.0,34.75,5.32,24.52975929945019,29.0,100.0,7.76,4.63,0,0,0,1,0,0,0,0,0
162,73.0,320,9.88,32.75,5.38994693160873,28.815368439290744,26.73246648329718,98.27931291639214,8.205260349603398,4.7674091962378835,0,0,1,1,1,1,1,1,0
163,74.63,269,10.0,32.75,4.7,26.50775905658957,33.0,120.0,7.16,4.21,0,0,0,1,0,0,0,0,1
164,78.0,312,10.0,34.0,5.22,27.0,29.5,100.0,7.94,4.72,0,0,0,0,0,0,0,0,1
165,77.75,296,9.38,31.0,4.87,30.0,32.5,114.0,7.26,4.38,0,0,0,0,0,0,0,0,1
166,72.0,287,9.0,33.25,5.081575546935094,29.0,29.32769840235304,108.57413319884967,7.826272129376282,4.5789847675991275,0,0,1,0,1,1,1,1,0
167,76.13,299,9.75,32.5,5.22,28.0,28.0,97.0,7.57,4.72,0,0,0,0,0,0,0,0,1
168,78.75,316,10.0,33.5,5.54,19.0,27.5,99.0,8.38,4.97,0,0,0,0,0,0,0,0,0
169,75.13,338,9.0,34.0,5.34,33.0,23.5,104.0,8.366633203462417,5.13,0,0,0,0,0,0,1,0,0
170,78.13,239,9.38,36.0,4.8,18.305412867776063,34.5,128.0,7.01,4.0,0,0,0,1,0,0,0,0,1
171,76.25,306,10.38,32.88,5.11,33.0,33.0,109.0,7.5,4.65,0,0,0,0,0,0,0,0,1
172,78.38,305,9.75,33.5,5.243858839389923,23.0,27.928126789306386,102.584627960669,8.001477597790743,4.685383152082178,0,0,1,0,1,1,1,1,1
173,78.88,277,10.38,34.5,4.84,21.0,28.5,114.0,7.27,4.37,0,0,0,0,0,0,0,0,1
174,78.75,322,10.75,34.63,5.39,32.0,26.5,103.0,8.55,5.15,0,0,0,0,0,0,0,0,0
175,77.5,285,9.5,34.0,4.94,20.0,30.0,114.0,7.53,4.78,0,0,0,0,0,0,0,0,0
176,74.0,252,9.5,32.5,4.75,26.0,34.5,118.0,7.35,4.5,0,0,0,0,0,0,0,0,1
